Station,River,Month,mpn/100ml,mpn/ml
1,Caceribu,september,46000,460
2,Guapimirim,september,15000,150
3,Suruê,september,1100000,11000
4,Iguaçu,september,210000000,2100000
5,SJMeriti,september,1100000000,11000000
6,Iraj_,september,11000000,110000
7,C.Cunha,september,2400000000,24000000
8,C.Mangue,september,1100000000,11000000
1,Caceribu,January,400,4
2,Guapimirim,January,4300,43
3,Suruê,January,430000,4300
4,Iguaçu,January,150000,1500
5,SJMeriti,January,43000000,430000
6,Iraj_,January,150000,1500
7,C.Cunha,January,150000,1500
8,C.Mangue,January,2100000,21000
1,Caceribu,April,4300,43
2,Guapimirim,April,9300,93
3,Suruê,April,2100000,21000
4,Iguaçu,April,93000000,930000
5,SJMeriti,April,1.10E+12,11000000000
6,Iraj_,April,930000,9300
7,C.Cunha,April,7500000,75000
8,C.Mangue,April,20000000000,200000000
