,mpn/100 ml,month
GN0034,62,Janiero
GN0063,120,Janiero
GN0064,590,Janiero
GN0093,33,Janiero
GN0306,62,Janiero
GN0034,3300,Fevereiro
GN0063,18,Fevereiro
GN0064,18,Fevereiro
GN0093,110,Fevereiro
GN0306,20,Fevereiro
GN0034,1600,Marco
GN0063,330,Marco
GN0064,3300,Marco
GN0093,200,Marco
GN0306,1500,Marco
GN0034,230,Abril
GN0063,33,Abril
GN0064,20,Abril
GN0093,18,Abril
GN0306,45,Abril
GN0034,15000,Maio
GN0063,45,Maio
GN0064,100,Maio
GN0093,20,Maio
GN0306,20,Maio
GN0034,3000,Junho
GN0063,78,Junho
GN0064,18,Junho
GN0093,180,Junho
GN0306,100,Junho
GN0034,5400,Julho
GN0063,20,Julho
GN0064,78,Julho
GN0093,20,Julho
GN0306,790,Julho
GN0034,790,Agosto
GN0063,18,Agosto
GN0064,45,Agosto
GN0093,78,Agosto
GN0306,45,Agosto
GN0034,560,Agosto
GN0063,20,Agosto
GN0064,20,Agosto
GN0093,18,Agosto
GN0306,20,Agosto
GN0034,130,Agosto
GN0063,490,Agosto
GN0064,78,Agosto
GN0093,20,Agosto
GN0306,78,Agosto
GN0034,790,Setembro
GN0063,18,Setembro
GN0064,45,Setembro
GN0093,18,Setembro
GN0306,130,Setembro
GN0034,200,Outubro
GN0063,18,Outubro
GN0064,78,Outubro
GN0093,78,Outubro
GN0306,230,Outubro
