,mpn/100ml,month
GN0034,10,Janiero
GN0063,10,Janiero
GN0064,10,Janiero
GN0093,10,Janiero
GN0306,10,Janiero
GN0034,133,Marco
GN0063,20,Marco
GN0064,26,Marco
GN0093,10,Marco
GN0306,10,Marco
GN0034,10,Abril
GN0063,10,Abril
GN0064,10,Abril
GN0093,10,Abril
GN0306,10,Abril
GN0034,"2,729",Maio
GN0063,20,Maio
GN0064,20,Maio
GN0093,10,Maio
GN0306,10,Maio
GN0034,79,Junho
GN0063,10,Junho
GN0064,10,Junho
GN0093,31,Junho
GN0306,10,Junho
GN0034,1782,Julho
GN0063,10,Julho
GN0064,10,Julho
GN0093,10,Julho
GN0306,10,Julho
GN0034,86,Agosto
GN0063,10,Agosto
GN0064,10,Agosto
GN0093,10,Agosto
GN0306,10,Agosto
GN0034,41,Agosto
GN0063,10,Agosto
GN0064,10,Agosto
GN0093,10,Agosto
GN0306,10,Agosto
GN0034,15,Agosto
GN0063,10,Agosto
GN0064,10,Agosto
GN0093,10,Agosto
GN0306,10,Agosto
GN0034,202,Setembro
GN0063,10,Setembro
GN0064,10,Setembro
GN0093,10,Setembro
GN0306,10,Setembro
GN0034,10,Outubro
GN0063,10,Outubro
GN0064,10,Outubro
GN0093,20,Outubro
GN0306,10,Outubro
